"Day","階段","主題","標題","閱讀目標","分鐘","題數","網站"
"1","建立閱讀習慣","校園故事","The Missing Wallet","從人物的行動找出原因與個性","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/1"
"2","建立閱讀習慣","日常生活","A Lunch Worth Sharing","抓住問題、轉折與解決方式","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/2"
"3","建立閱讀習慣","對話／訊息","The Message Before Practice","比對訊息中的時間、地點與條件","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/3"
"4","建立閱讀習慣","科普閱讀","The Mystery of the Wet Cup","用實驗線索分清觀察與解釋","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/4"
"5","建立閱讀習慣","公告／資訊閱讀","One Ticket, Two Choices","比對活動時間、價格與報名限制","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/5"
"6","建立閱讀習慣","每週 Boss","Boss: The Fair That Almost Failed","整合兩份資料，完成本週挑戰","12","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/6"
"7","建立閱讀習慣","單字與錯題復活","The Second-Try Club","用文章證據修正答案，整理一週收穫","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/7"
"8","建立閱讀習慣","對話／訊息","A Map for Everyone","找出問題，判斷哪個修改真正有幫助","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/8"
"9","建立閱讀習慣","科普閱讀","The Invisible Road of Ants","理解螞蟻如何利用氣味訊號選擇並改變路線","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/9"
"10","建立閱讀習慣","公告／資訊閱讀","Books After Closing Time","整合公告中的日期、時間限制與借還書規則","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/10"
"11","建立閱讀習慣","每週 Boss","Boss: The Ice-Cup Challenge","整合實驗步驟、數據與討論，判斷證據能支持到什麼程度","10","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/11"
"12","建立閱讀習慣","單字與錯題復活","The Five-Card Word Rescue","利用上下文證據複習近期單字，並練習說明修正答案的理由","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/12"
"13","建立閱讀習慣","校園故事","The Extra Point","分辨發現錯誤、修正行動與公平理由。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/13"
"14","建立閱讀習慣","日常生活","Two Loaves at the Door","分辨重複配送、原訂數量與負責處理。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/14"
"15","建立閱讀習慣","對話／訊息","The Photo We Can Share","從對話中辨識同意範圍與最後決定。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/15"
"16","建立閱讀習慣","科普閱讀","A Fair Test Needs a Record","區分實驗觀察、推測與紀錄的限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/16"
"17","建立閱讀習慣","公告／資訊閱讀","Borrow It, Bring It Back","從公告判讀借用期限、責任與例外。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/17"
"18","建立閱讀習慣","每週 Boss","Boss: The Class Fund Puzzle","整合收據、現金紀錄與對話，找出合理解釋。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/18"
"19","建立閱讀習慣","單字與錯題復活","The Clue Card Exchange","回收本週字詞，練習用上下文說明答案。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/19"
"20","建立閱讀習慣","校園故事","The Ten-Minute Gap","讀懂時間順序，判斷短空檔適合完成的任務。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/20"
"21","建立閱讀習慣","日常生活","Dinner Before the Deadline","利用開放時間與準備時間倒推行動。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/21"
"22","建立閱讀習慣","對話／訊息","Which Meeting Is the Final One?","辨識訊息更新後的時間、地点與人數。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/22"
"23","建立閱讀習慣","科普閱讀","The Bell and the Puzzle","從實驗紀錄理解中斷、比較與證據限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/23"
"24","建立閱讀習慣","公告／資訊閱讀","Thirty Minutes in the Maker Room","讀懂預約、截止時間與最後使用時段。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/24"
"25","建立閱讀習慣","每週 Boss","Boss: The Library Window","整合行程表、任務長度、截止時間與緩衝。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/25"
"26","建立閱讀習慣","單字與錯題復活","Five Words, One Better Plan","透過新情境複習時間字詞，區分完成與熟悉。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/26"
"27","建立閱讀習慣","校園故事","One Bowl, Twelve Cups","分辨容器容量、供應份量與公平分配。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/27"
"28","建立閱讀習慣","日常生活","The Bigger Bag Is Not the Better Deal","比較總價、單價與真正需求。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/28"
"29","建立閱讀習慣","對話／訊息","Lunch for Three Different Plans","整合對話中的個人條件與共用訂單。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/29"
"30","建立閱讀習慣","科普閱讀","Same Juice, Different Labels","分辨產品名稱、盲測資料與樣本限制。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/30"
"31","建立閱讀習慣","公告／資訊閱讀","Order Today, Eat Tomorrow","判讀預訂、變更、取消與付款規則。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/31"
"32","建立閱讀習慣","每週 Boss","Boss: The Free-Delivery Question","整合餐點需求、免運門檻與總預算，避免只看促銷。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/32"
"33","建立閱讀習慣","單字與錯題復活","The Recipe Card Repair","在新情境中複習份量、食材、確認與價格用語。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/33"
"34","建立閱讀習慣","校園故事","A Sign at the Wrong Gate","整合位置、封閉通知與替代路線。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/34"
"35","建立閱讀習慣","日常生活","The Ticket for Two Rides","依實際搭乘次數比較票價，分辨確定與可能行程。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/35"
"36","讀懂條件與事件","對話／訊息","The Umbrella Message","依訊息修正集合地點，分辨物品與時間。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/36"
"37","讀懂條件與事件","科普閱讀","Seeds on Two Shelves","從實驗紀錄區分改變條件與共同條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/37"
"38","讀懂條件與事件","公告／資訊閱讀","Saturday Repair Desk","整合公告中的預約、收件與取件規則。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/38"
"39","讀懂條件與事件","每週 Boss","Boss: Three Jobs Before the Show","結合工作表、時間與依賴關係安排任務。","15","9","https://alger68.github.io/JHSEE-English-Adventure/#lesson/39"
"40","讀懂條件與事件","單字與錯題復活","The Word Desk Switch","將本週字詞放回語境，依線索修正理解。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/40"
"41","讀懂條件與事件","校園故事","A Quiet Welcome","以人物行動推論需要，避免替他人做決定。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/41"
"42","讀懂條件與事件","日常生活","The Receipt in the Pocket","從消費紀錄核對金額，判斷退換條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/42"
"43","讀懂條件與事件","對話／訊息","The Museum Audio Plan","追蹤對話中的器材限制與替代安排。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/43"
"44","讀懂條件與事件","科普閱讀","A Paper Plane Record","以平均與重複測試判讀資料。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/44"
"45","讀懂條件與事件","公告／資訊閱讀","The Refill Bottle Notice","分清公告中的折扣、容量及例外條件。","10","6","https://alger68.github.io/JHSEE-English-Adventure/#lesson/45"
